@RELATION ./Datasets/MP3/control.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-145.8,-1.088,-1.101,0.09235,-0.1119,5.75,4.443,-0.1586,2.483,2.853,-1.682,0.251,1.559,?,-146.4,-1.176,-1.166,0.08892,-0.0963,5.683,4.519,-0.147,2.471,2.794,-1.748,0.2407,1.566,1464.0,?,?,?,?,?,?,?,24.6,27.86,17.34,?,15.55,383.8,'[\'Hip-Hop\']',011790.mp3
-95.34,4.853,-0.7385,-1.144,-1.01,2.757,0.2615,-0.7401,0.2896,0.7147,0.4758,0.722,-0.09264,?,-94.55,5.029,-0.7851,-1.159,-1.033,2.73,0.1049,-0.829,0.3247,0.7315,0.5149,0.7307,-0.1237,945.4,?,7.574,11.41,10.12,26.82,?,?,?,?,?,?,?,231.6,'[\'Hip-Hop\']',150288.mp3
-107.5,5.439,0.2059,-0.6082,0.06913,3.117,1.069,-0.08371,0.2815,-0.7632,0.6572,-0.06885,-1.208,1.632,-107.5,5.554,0.2336,-0.6356,0.09845,3.293,1.005,-0.2347,0.2434,-0.7493,0.6387,-0.0238,-1.25,1075.0,55.34,?,?,?,?,?,?,?,?,?,?,12.37,264.7,'[\'Hip-Hop\']',108845.mp3
-142.4,3.209,-1.607,-2.788,-2.788,3.083,-2.372,-2.061,-2.603,-0.6613,0.2237,-0.6516,-1.437,2.731,-142.2,3.478,-1.615,-2.787,-2.769,3.067,-2.296,-1.935,-2.579,-0.7711,0.1985,-0.668,-1.42,1422.0,?,?,?,?,29.99,?,?,25.66,?,?,?,?,705.0,'[\'Hip-Hop\']',097987.mp3
-124.9,6.579,-0.3747,-0.3385,-0.5418,4.251,3.731,-0.6068,-1.026,-0.3567,-0.9651,-0.3917,-0.7813,?,-124.4,6.447,-0.3758,-0.3157,-0.5559,4.294,3.668,-0.6289,-1.057,-0.3455,-1.017,-0.3984,-0.7688,1244.0,64.24,?,?,?,42.83,36.6,?,10.36,?,9.998,?,?,207.7,'[\'Hip-Hop\']',112484.mp3
-108.2,2.822,0.2055,-0.4321,-0.3884,-0.6725,4.917,-0.7269,1.836,1.182,0.3646,-0.8448,-0.01009,1.488,-107.6,2.878,0.2302,-0.389,-0.3941,-0.7302,4.885,-0.7471,1.848,1.113,0.3115,-0.7673,0.006993,1076.0,?,?,?,?,?,48.74,?,18.33,?,?,?,?,489.2,'[\'Hip-Hop\']',146727.mp3
-84.39,1.408,-0.4125,-0.4541,-1.546,4.019,1.036,-1.344,0.5264,-0.995,1.005,-0.3159,0.5073,?,-84.05,1.432,-0.4322,-0.4465,-1.541,4.008,1.035,-1.36,0.5273,-1.005,1.004,-0.335,0.4926,840.5,14.18,?,?,15.37,40.04,10.25,13.52,?,9.937,9.947,?,?,168.3,'[\'Hip-Hop\']',010696.mp3
-99.12,2.808,0.06286,-1.966,-1.117,2.07,0.1797,0.9759,-0.155,-1.117,-0.6472,-1.387,-1.314,1.995,-98.72,2.715,0.07673,-2.0,-1.116,1.926,0.1396,0.9354,-0.1551,-1.15,-0.6572,-1.408,-1.412,987.1,?,?,?,11.03,?,?,?,?,?,?,13.91,?,247.8,'[\'Hip-Hop\']',014391.mp3
-105.2,4.017,-0.11,-0.6352,-0.2343,3.232,1.582,0.1118,1.167,0.02298,0.0609,0.2107,-1.032,2.339,-104.8,4.072,-0.1576,-0.6536,-0.3041,3.214,1.462,0.08722,1.15,-0.08828,-0.02696,0.1654,-1.067,1048.0,40.23,?,?,?,31.66,?,?,?,?,?,?,?,338.4,'[\'Hip-Hop\']',067793.mp3
-177.8,15.79,0.3385,-0.3192,-0.2425,5.101,2.538,3.172,1.454,0.2166,0.09472,0.3904,0.5861,?,-177.3,15.26,0.3073,-0.3657,-0.3215,4.868,2.355,3.052,1.429,0.136,0.1265,0.3887,0.6514,1770.0,151.9,?,?,?,47.83,23.32,30.43,14.14,?,?,?,?,174.9,'[\'Hip-Hop\']',010694.mp3
-87.59,5.014,-1.606,0.2007,1.428,7.052,2.022,-1.13,1.664,1.257,-1.47,-0.5811,-0.4861,1.235,-87.31,4.928,-1.606,0.2692,1.417,7.071,2.09,-1.179,1.51,1.281,-1.489,-0.5883,-0.5535,872.9,49.02,15.96,?,14.04,70.66,20.73,?,?,?,?,?,?,251.8,'[\'Hip-Hop\']',063770.mp3
-109.6,9.24,1.108,-0.607,-0.2922,3.843,-0.7364,0.2987,1.47,-1.093,-0.3857,0.5619,0.592,?,-108.0,9.137,1.094,-0.6506,-0.2934,3.634,-0.7694,0.3633,1.453,-1.058,-0.2834,0.5312,0.6044,1080.0,91.2,10.81,?,?,36.08,?,?,?,?,?,?,?,147.9,'[\'Hip-Hop\']',144213.mp3
-134.2,16.72,1.502,0.4541,0.08716,0.5775,-4.294,-0.6821,0.8607,2.191,0.7197,-0.3417,-0.3312,?,-133.2,16.67,1.548,0.4591,0.09636,0.6319,-4.282,-0.6441,0.9109,2.207,0.7202,-0.3638,-0.3272,1332.0,166.5,?,?,?,?,42.73,?,?,21.92,?,?,?,178.5,'[\'Hip-Hop\']',114040.mp3
-104.1,10.61,-1.087,-1.619,-1.776,4.889,0.3725,0.6292,1.684,-0.6844,1.614,-0.1715,-0.4377,?,-103.6,10.54,-1.113,-1.596,-1.779,4.778,0.2325,0.7139,1.716,-0.736,1.622,-0.1793,-0.4728,1036.0,105.3,?,?,17.68,47.55,?,?,16.96,?,?,?,?,213.0,'[\'Hip-Hop\']',073550.mp3
-107.9,6.796,0.007024,-0.8141,0.1323,2.973,0.5219,0.4141,0.3113,-0.304,0.06574,0.3893,-0.2023,1.646,-107.6,6.929,0.01019,-0.8412,0.1058,2.998,0.4476,0.4059,0.2321,-0.3939,0.04833,0.3814,-0.1428,1076.0,69.1,?,8.281,?,29.64,?,?,?,?,?,?,?,232.5,'[\'Hip-Hop\']',130650.mp3
-95.57,0.3549,1.155,1.959,2.011,-1.804,8.606,2.255,-5.171,-4.346,-0.8064,-1.648,-1.139,?,-95.47,0.371,1.211,2.048,2.003,-1.763,8.689,2.335,-5.158,-4.32,-0.7231,-1.631,-1.161,954.6,?,?,20.4,19.99,17.35,86.85,23.25,51.54,43.15,?,16.25,?,38.31,'[\'Hip-Hop\']',036986.mp3
-107.3,4.867,0.3597,-0.1027,-0.2112,5.531,1.068,-1.216,0.3887,-0.4962,0.8807,-0.1897,0.1606,?,-107.1,4.849,0.3515,-0.09869,-0.211,5.464,1.061,-1.197,0.3823,-0.5393,0.956,-0.2355,0.1699,1071.0,48.02,?,?,?,54.4,?,?,?,?,?,?,?,269.8,'[\'Hip-Hop\']',072136.mp3
-102.6,9.605,1.113,0.637,0.2215,4.832,-0.1799,0.1966,1.563,2.861,1.911,1.507,0.6123,0.46,-102.6,9.702,1.124,0.6312,0.2519,4.765,-0.1728,0.1754,1.519,2.764,1.909,1.498,0.5991,1026.0,96.89,11.11,6.118,?,47.53,?,?,14.94,27.52,18.99,14.86,?,128.5,'[\'Hip-Hop\']',146685.mp3
-95.84,6.047,-1.173,0.308,-0.5631,5.504,-0.1534,0.01215,-0.344,-0.6394,0.4401,-0.2261,0.3018,1.479,-95.55,6.288,-1.198,0.3944,-0.5109,5.61,-0.1636,-0.08149,-0.4191,-0.6189,0.479,-0.2438,0.3591,955.4,62.65,11.86,?,?,55.86,?,?,?,?,?,?,?,198.0,'[\'Hip-Hop\']',147022.mp3
-98.89,8.073,2.159,-0.4046,-2.445,1.739,1.472,-1.61,-3.947,-1.311,2.542,-1.552,-2.27,1.424,-98.92,7.99,2.27,-0.39,-2.514,1.728,1.492,-1.615,-4.07,-1.352,2.602,-1.621,-2.314,989.1,79.8,?,?,25.1,17.04,?,?,40.63,13.36,25.94,?,?,374.7,'[\'Hip-Hop\']',016880.mp3
-89.17,3.506,-1.248,0.4194,-0.6568,-0.1901,-0.6094,-3.46,1.486,-1.281,0.464,-2.144,-0.4019,1.831,-88.53,3.543,-1.256,0.588,-0.574,-0.08162,-0.6658,-3.639,1.503,-1.297,0.436,-2.203,-0.3632,885.3,?,?,?,?,?,?,36.24,14.79,?,?,21.93,?,333.8,'[\'Hip-Hop\']',100480.mp3
-115.8,2.395,-0.4779,-0.01613,-0.4417,2.643,-1.892,-0.7346,0.6838,0.9492,0.4446,0.3818,-0.01164,0.7533,-114.9,2.411,-0.483,-0.003016,-0.4529,2.557,-1.879,-0.7795,0.7077,0.9389,0.4158,0.3634,-0.03069,1149.0,23.65,4.597,?,4.354,?,18.55,?,?,9.107,?,?,?,107.2,'[\'Hip-Hop\']',145727.mp3
-92.94,2.453,-1.24,-1.681,-1.368,1.843,-0.6574,0.5304,0.2891,0.7605,0.2039,-0.3079,-0.7259,1.902,-93.0,2.414,-1.274,-1.689,-1.354,1.925,-0.5695,0.555,0.2917,0.7985,0.1986,-0.3297,-0.7376,930.0,?,?,16.79,?,?,?,?,?,?,?,?,?,262.4,'[\'Hip-Hop\']',058207.mp3
-115.4,8.107,-2.163,-1.923,0.1692,0.926,2.183,1.582,0.1256,-2.6,-0.6818,-0.01999,-0.5386,1.599,-115.6,8.325,-2.16,-2.087,0.1966,0.9888,2.033,1.706,0.203,-2.823,-0.679,0.002531,-0.4995,1156.0,83.21,21.55,20.81,?,?,20.25,?,?,?,?,?,?,291.7,'[\'Hip-Hop\']',012394.mp3
-112.3,8.351,1.293,0.6902,-0.1721,8.16,0.8351,-0.5245,-1.048,-0.3319,0.5839,1.021,1.245,0.9924,-112.5,8.441,1.294,0.7214,-0.192,8.213,0.782,-0.5642,-1.096,-0.3323,0.5677,1.007,1.237,1125.0,84.22,12.78,7.058,?,82.05,?,?,10.62,?,?,9.915,12.27,160.2,'[\'Hip-Hop\']',108812.mp3
-102.8,-1.699,-0.4549,-0.1915,0.1137,1.716,0.4279,1.635,2.26,-0.1248,-0.3312,-1.512,-0.5152,?,-101.6,-1.807,-0.4818,-0.1988,0.1125,1.658,0.4333,1.645,2.257,-0.08983,-0.286,-1.525,-0.5214,1016.0,?,?,?,?,16.32,?,16.3,22.45,?,?,15.15,?,407.6,'[\'Hip-Hop\']',068531.mp3
-103.9,0.1937,-0.6189,-0.06304,0.3135,4.203,1.81,1.226,0.8576,0.7163,0.4244,-0.6854,-0.6669,1.073,-103.9,0.2236,-0.6216,-0.05485,0.3432,4.237,1.844,1.318,0.9125,0.7192,0.4283,-0.6428,-0.6337,1038.0,?,?,?,?,42.28,18.3,12.98,?,?,?,?,?,93.45,'[\'Hip-Hop\']',011919.mp3
-131.9,19.55,2.758,-1.068,-2.926,-11.43,-9.518,-5.835,-5.068,-2.475,-0.7633,-1.085,0.8111,0.3218,-132.2,19.6,2.72,-1.126,-2.915,-11.36,-9.515,-5.813,-5.178,-2.562,-0.7619,-1.027,0.8689,1322.0,195.8,27.13,11.06,29.12,113.3,95.05,57.99,51.68,25.43,7.316,?,?,29.8,'[\'Hip-Hop\']',036987.mp3
-104.0,-0.9364,-1.974,-1.806,-0.5934,-0.1149,0.4528,0.06648,-0.6605,-0.9081,-0.393,-0.1393,-1.238,?,-102.7,-0.8446,-1.991,-1.801,-0.5624,-0.1833,0.3268,0.01258,-0.6657,-0.8769,-0.3186,-0.1118,-1.211,1027.0,?,19.8,17.93,?,?,?,?,?,?,?,?,11.93,653.7,'[\'Hip-Hop\']',000002.mp3
-108.9,9.908,-0.5825,-0.1199,0.02412,3.488,1.823,-0.4585,-0.09282,0.3308,0.1627,0.4688,0.3202,1.368,-108.4,9.73,-0.6047,-0.1081,0.04326,3.501,1.922,-0.4565,-0.07185,0.3899,0.1435,0.4593,0.2936,1084.0,97.13,?,?,?,34.91,19.02,?,?,?,?,?,?,198.5,'[\'Hip-Hop\']',044236.mp3
-103.5,6.885,1.38,-0.3829,-1.499,2.447,-0.4155,-2.287,-1.005,-0.9914,-1.538,-0.7682,-0.5648,2.764,-103.5,6.714,1.459,-0.2855,-1.501,2.382,-0.1791,-2.232,-1.053,-0.9671,-1.573,-0.8175,-0.5561,1035.0,66.71,?,?,?,?,?,22.1,?,?,?,?,?,727.5,'[\'Hip-Hop\']',040525.mp3
-146.6,4.447,-0.2132,-0.4907,-0.5015,7.068,2.105,0.8427,1.487,1.146,0.04137,-0.2006,-0.1555,?,-145.5,4.392,-0.2407,-0.478,-0.5132,7.043,2.099,0.8207,1.517,1.169,0.05542,-0.186,-0.1614,1455.0,43.47,?,4.575,4.912,70.34,?,?,15.05,11.55,?,?,?,344.4,'[\'Hip-Hop\']',140620.mp3
-110.3,7.697,0.7744,0.3506,0.3955,3.117,-1.281,-0.288,1.125,0.319,-1.144,-0.06422,-0.2754,1.274,-110.3,7.616,0.798,0.3431,0.353,3.259,-1.242,-0.3594,1.052,0.2727,-1.148,-0.006848,-0.1926,1103.0,76.03,?,?,?,32.4,?,?,?,?,?,?,?,250.9,'[\'Hip-Hop\']',113032.mp3
-120.8,3.915,-0.1194,-0.3165,1.181,2.454,-2.62,-2.457,-0.4867,-0.7403,-0.1548,1.001,-0.06867,1.083,-120.2,3.683,-0.1499,-0.3672,1.146,2.425,-2.407,-2.252,-0.5106,-0.9465,-0.192,1.116,0.05279,1202.0,36.51,?,?,?,?,?,?,?,?,?,?,?,166.7,'[\'Hip-Hop\']',011766.mp3
-109.0,4.219,-1.234,-0.9049,0.5342,3.978,-0.09952,0.1648,-0.3392,0.3751,-0.4837,-1.434,-1.567,?,-108.0,4.277,-1.205,-0.9178,0.5434,3.974,-0.06242,0.3439,-0.2123,0.4286,-0.43,-1.392,-1.598,1080.0,?,11.82,8.924,?,39.32,?,?,?,?,?,?,15.78,441.7,'[\'Hip-Hop\']',089456.mp3
-117.4,-2.252,1.299,-0.08593,-0.4154,5.802,-0.2207,0.4466,0.5202,0.05625,0.6178,-0.5472,-0.2353,?,-116.7,-2.315,1.317,0.0201,-0.3269,5.782,-0.1218,0.441,0.5494,0.000887,0.6127,-0.6181,-0.295,1167.0,?,13.0,?,?,57.62,?,?,?,?,?,?,?,973.6,'[\'Hip-Hop\']',147886.mp3
-93.32,-0.6869,0.7589,0.4303,-0.7672,1.86,-0.8945,0.1183,0.8631,0.6033,0.2247,0.4073,0.2387,1.639,-93.28,-0.8312,0.7103,0.4527,-0.7383,1.694,-0.9194,0.04615,0.9454,0.5099,0.1778,0.4308,0.2443,932.6,?,?,?,?,?,?,?,?,?,?,?,?,191.4,'[\'Hip-Hop\']',069561.mp3
-103.1,1.977,-0.3947,-0.4119,-1.049,3.389,-0.5158,-1.573,-0.3987,-1.251,0.08752,-0.04617,-0.1611,2.767,-102.4,1.984,-0.361,-0.3489,-0.9808,3.315,-0.4793,-1.576,-0.4526,-1.196,0.1243,-0.09957,-0.1392,1024.0,?,?,?,?,?,?,?,?,11.66,?,?,?,451.4,'[\'Hip-Hop\']',146713.mp3
-122.6,6.136,-0.2002,0.4171,-0.4762,7.414,1.459,1.956,0.6702,1.098,0.6947,0.7618,-0.3624,1.871,-122.6,6.15,-0.1906,0.4176,-0.4908,7.416,1.501,1.928,0.6348,1.137,0.7321,0.7269,-0.3389,1226.0,61.1,?,?,?,74.0,?,?,?,?,?,?,?,211.1,'[\'Hip-Hop\']',011767.mp3
-100.7,-1.326,-0.9274,-1.596,-0.643,-2.637,1.6,0.6452,-0.103,-0.4833,1.408,-0.4296,-1.656,3.4,-100.7,-1.379,-0.8918,-1.614,-0.6714,-2.64,1.588,0.5974,-0.09355,-0.4838,1.406,-0.3238,-1.644,1007.0,?,?,16.04,?,?,?,?,?,?,13.89,?,16.33,744.8,'[\'Hip-Hop\']',042046.mp3
-110.2,11.88,-1.243,-2.031,0.05592,4.352,0.7653,-2.089,1.041,0.5848,-0.6198,-1.506,-1.668,?,-109.8,12.04,-1.307,-2.05,0.09069,4.207,0.7162,-2.051,1.019,0.5548,-0.6538,-1.509,-1.674,1098.0,120.4,?,?,?,41.96,?,20.39,?,?,?,?,16.59,258.5,'[\'Folk\']',148604.mp3
-93.24,7.505,-0.8852,0.1651,-1.312,-9.252,-2.422,-1.905,-0.2676,0.3443,-1.889,-3.535,-0.3615,1.813,-93.26,7.528,-0.7572,0.2733,-1.24,-9.189,-2.424,-1.829,-0.1678,0.4091,-1.918,-3.784,-0.4135,932.5,75.2,?,?,12.29,91.86,24.15,18.19,?,?,19.1,37.8,?,590.4,'[\'Folk\']',040245.mp3
-108.4,11.24,-0.09499,-0.3096,-0.3881,1.164,-0.7497,-0.8245,0.9289,-1.049,-0.6628,-0.7225,-0.08988,?,-107.1,11.23,-0.018,-0.2617,-0.3423,1.05,-0.6959,-0.7671,0.8587,-0.9671,-0.6023,-0.7477,-0.01704,1071.0,112.3,?,?,?,?,?,?,?,?,?,?,?,342.0,'[\'Folk\']',049847.mp3
-106.2,10.32,-0.9311,-0.7291,-1.299,-6.479,-1.408,-3.908,-2.544,-2.282,0.372,-0.7907,-1.204,1.288,-106.3,10.59,-0.939,-0.4338,-1.105,-6.575,-1.356,-3.94,-2.632,-2.162,0.3924,-1.06,-1.308,1063.0,105.8,?,?,?,65.7,?,39.34,26.19,?,?,?,?,641.4,'[\'Folk\']',010440.mp3
-118.9,17.5,-0.5523,0.2548,-0.07857,0.4669,0.6541,0.7335,0.163,-0.1042,0.6889,0.199,-2.118,0.9749,-117.4,17.04,-0.4647,0.1748,-0.144,0.4104,0.7735,0.8294,0.1948,-0.08395,0.6516,0.2923,-2.077,1174.0,170.4,?,?,?,?,?,?,?,?,?,?,20.68,231.5,'[\'Folk\']',138015.mp3
-136.5,-0.1838,-1.357,-0.9112,-1.469,2.752,-3.372,-4.925,1.702,-0.634,1.618,0.7047,-0.4594,1.502,-136.5,-0.2705,-1.523,-0.9027,-1.52,2.839,-3.297,-4.888,1.873,-0.6032,1.697,0.9277,-0.57,1365.0,?,?,?,?,?,32.77,48.77,?,?,?,?,?,806.8,'[\'Folk\']',003880.mp3
-128.9,16.62,-0.8588,-0.5586,-2.166,1.612,3.307,-0.4552,-2.522,-2.731,-0.3379,-1.888,1.792,0.6665,-128.7,16.73,-0.8542,-0.8033,-2.315,1.578,3.279,-0.4771,-2.515,-2.86,-0.3333,-1.941,1.903,1286.0,167.3,?,?,?,?,32.72,?,25.06,28.54,?,?,?,316.4,'[\'Folk\']',073572.mp3
-121.4,9.364,-0.1358,-0.6221,-1.131,3.508,1.681,-2.955,1.767,-0.7852,-0.4288,0.7188,0.9659,1.406,-121.1,9.179,-0.0961,-0.5675,-1.117,3.579,1.724,-2.937,1.722,-0.7879,-0.4798,0.7482,0.9645,1211.0,91.65,?,?,?,35.68,?,29.29,17.12,?,?,?,?,329.7,'[\'Folk\']',091934.mp3
