@RELATION ./mp3train.arff

@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "Partial Based Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_0" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_1" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_10" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_11" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_12" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_2" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_3" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_4" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_5" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_6" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_7" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_8" REAL
@ATTRIBUTE "Running Mean of MFCC Overall Average_9" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_0" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_1" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_10" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_11" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_12" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_2" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_3" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_4" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_5" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_6" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_7" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_8" REAL
@ATTRIBUTE "Standard Deviation of MFCC Overall Average_9" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE genre STRING
@ATTRIBUTE title STRING

@DATA
-128.5,5.298,-0.2895,-0.1285,-0.8021,2.615,-0.0846,0.09963,-0.162,-0.7352,0.168,0.392,-0.5542,?,-127.1,5.277,-0.2692,-0.1118,-0.779,2.549,-0.07808,0.05618,-0.1527,-0.7566,0.1713,0.3778,-0.5569,1271.0,52.36,?,?,7.577,?,?,?,?,?,?,?,?,145.6,'[\'Hip-Hop\']',011773.mp3
-83.65,-2.356,-0.8603,0.9143,-0.4392,2.413,8.917,2.014,3.465,0.1748,2.098,0.6478,1.028,?,-83.51,-2.372,-0.8426,0.9256,-0.4402,2.442,8.879,1.965,3.435,0.1847,2.138,0.6076,1.008,835.1,23.39,8.311,9.174,?,24.33,88.75,19.58,34.31,?,21.32,?,9.991,140.0,'[\'Hip-Hop\']',024424.mp3
-105.8,5.041,0.466,-0.03145,-0.4637,3.829,-0.1528,-0.6423,-0.1692,-0.2501,0.3359,0.007438,-0.7639,?,-105.3,5.191,0.5126,-0.04486,-0.4509,3.826,-0.1392,-0.5695,-0.04745,-0.1709,0.4071,0.05934,-0.782,1053.0,51.72,?,?,?,38.01,?,?,?,?,?,?,?,280.3,'[\'Hip-Hop\']',100958.mp3
-103.2,12.66,0.008299,-0.2606,-0.9539,-0.8697,-3.212,-2.596,-0.501,-1.165,-0.5521,-1.85,-1.398,?,-103.3,12.74,0.04872,-0.2052,-0.9613,-0.8848,-3.332,-2.596,-0.5432,-1.221,-0.5468,-1.802,-1.339,1033.0,127.3,?,?,?,?,33.13,25.78,?,11.99,?,17.88,13.15,225.1,'[\'Hip-Hop\']',114036.mp3
-119.6,8.437,-0.579,-0.2449,-0.2752,2.849,-0.651,-1.828,-0.1772,-1.286,-0.1393,-0.2727,-0.3281,1.92,-119.3,8.204,-0.566,-0.1883,-0.2015,2.782,-0.663,-1.917,-0.1026,-1.271,-0.08072,-0.2156,-0.3391,1193.0,81.8,?,?,?,?,?,?,?,?,?,?,?,504.2,'[\'Hip-Hop\']',105450.mp3
-136.7,-1.913,-0.03897,-1.788,-0.6583,9.275,-0.09778,2.163,0.6139,0.5452,-0.1829,-0.689,-0.3215,?,-137.8,-1.996,-0.01534,-1.871,-0.7367,9.251,-0.08814,2.233,0.6916,0.5708,-0.2335,-0.6979,-0.2651,1378.0,?,?,18.63,?,92.44,?,22.19,?,?,?,?,?,697.8,'[\'Hip-Hop\']',108774.mp3
-106.1,4.443,-0.7957,-1.049,0.1414,-0.4772,-0.9,0.8491,-0.8494,0.5649,-0.8146,-0.6683,-0.7172,2.017,-106.7,4.443,-0.9495,-1.162,0.1323,-0.4568,-0.953,1.016,-0.9159,0.5979,-0.8427,-0.7771,-0.8046,1067.0,44.26,?,?,?,?,?,?,?,?,?,?,?,322.7,'[\'Hip-Hop\']',007490.mp3
-101.5,-5.017,0.4813,-1.079,-0.1911,2.06,3.16,0.5678,0.7817,0.1049,0.4211,-0.02271,-0.3303,3.752,-100.8,-4.673,0.5455,-1.097,-0.1906,2.265,3.131,0.6525,0.7859,0.178,0.3922,-0.03493,-0.3059,1008.0,46.51,?,10.87,?,?,31.2,?,?,?,?,?,?,505.0,'[\'Hip-Hop\']',060478.mp3
-98.31,11.25,-1.395,0.3678,-0.2699,-2.746,-1.962,0.6818,0.4489,0.0387,-2.293,-0.6138,-0.4131,1.168,-97.92,11.3,-1.388,0.3388,-0.2581,-2.714,-1.931,0.6881,0.4861,0.05125,-2.244,-0.593,-0.4241,979.1,112.8,13.79,?,?,?,19.16,?,?,?,22.36,?,?,171.9,'[\'Hip-Hop\']',094465.mp3
-122.1,7.955,0.5818,-0.6708,-1.446,4.556,-2.9,-1.799,-2.087,1.108,3.109,2.903,1.516,?,-121.3,8.213,0.691,-0.611,-1.479,4.791,-2.89,-1.9,-2.147,1.104,3.003,2.922,1.586,1213.0,81.8,?,?,14.66,?,28.74,18.8,?,?,29.96,?,15.69,241.1,'[\'Hip-Hop\']',011776.mp3
-119.8,3.681,-0.3121,-1.179,0.1736,3.034,1.173,0.4414,0.9289,-1.165,-0.551,0.9692,-0.2671,?,-118.5,3.921,-0.4218,-1.297,0.0718,3.166,1.088,0.4596,0.9482,-1.294,-0.6054,1.067,-0.2653,1185.0,?,?,?,?,31.34,?,?,?,?,?,?,?,125.4,'[\'Hip-Hop\']',109684.mp3
-103.5,7.707,-0.02261,-1.124,-0.08877,2.179,1.063,0.2266,0.3582,1.457,0.62,0.4746,-1.198,1.139,-103.4,7.716,0.004934,-1.153,-0.0731,2.183,1.197,0.2833,0.3227,1.506,0.6826,0.4116,-1.183,1033.0,77.01,?,11.41,?,?,?,?,?,14.9,?,?,11.65,205.1,'[\'Hip-Hop\']',064517.mp3
-116.7,5.61,-0.5224,0.107,-1.454,9.852,6.699,-0.6219,0.9488,0.4414,-0.3423,-0.2331,-0.6896,0.4955,-115.8,5.547,-0.5647,0.1114,-1.456,9.857,6.652,-0.5773,0.8015,0.3803,-0.359,-0.3318,-0.7358,1158.0,55.22,?,?,14.49,98.51,66.43,?,?,?,?,?,?,138.0,'[\'Hip-Hop\']',073551.mp3
-97.98,5.702,0.0347,-1.158,-0.7953,4.907,-0.64,0.7149,0.5415,-0.7366,1.061,-0.4054,-0.1143,?,-97.15,5.655,0.05479,-1.173,-0.7682,4.881,-0.6723,0.6108,0.5112,-0.6474,0.9848,-0.4484,-0.09727,971.4,56.24,?,11.56,?,48.6,?,?,?,?,?,?,?,175.8,'[\'Hip-Hop\']',026016.mp3
-115.1,8.685,0.5105,-0.4085,-0.4506,-5.038,-1.011,-0.8462,-1.958,-1.123,0.05325,-0.1485,-0.35,?,-115.0,8.683,0.4997,-0.3837,-0.436,-5.021,-1.086,-0.8018,-1.923,-1.082,0.05069,-0.1117,-0.3605,1149.0,86.6,?,?,?,50.05,?,?,?,?,?,?,?,357.6,'[\'Hip-Hop\']',134826.mp3
-133.8,11.53,-0.3689,-0.8719,-0.0173,9.257,1.46,2.812,0.09736,0.7413,0.3909,1.048,-0.1394,0.9732,-133.7,11.53,-0.3843,-0.8834,-0.00198,9.268,1.425,2.814,0.09799,0.7312,0.3844,1.039,-0.1438,1336.0,115.1,?,8.747,?,92.52,?,28.07,?,?,?,10.28,?,139.2,'[\'Hip-Hop\']',011784.mp3
-105.5,5.531,-1.034,-0.08659,-0.8466,1.705,0.6508,-2.367,-1.527,-0.6507,0.3551,-0.08099,-0.8856,?,-105.0,5.3,-1.023,-0.1287,-0.8717,1.687,0.6514,-2.407,-1.516,-0.5846,0.3853,-0.1067,-0.8925,1050.0,52.68,?,?,?,?,?,23.92,?,?,?,?,?,311.8,'[\'Hip-Hop\']',110082.mp3
-110.2,8.953,-0.2863,-0.445,-0.6286,6.325,-1.664,-0.1277,-1.435,-1.681,-0.3831,-1.428,-0.6702,1.379,-110.5,9.22,-0.2958,-0.4555,-0.6721,6.288,-1.558,-0.115,-1.563,-1.689,-0.4274,-1.434,-0.6953,1105.0,92.09,?,?,?,62.74,?,?,?,?,?,?,?,387.5,'[\'Hip-Hop\']',094467.mp3
-114.2,9.314,-0.1482,-0.003,-0.4397,4.019,0.5476,-1.763,-0.2645,0.1661,0.2199,-0.4031,-1.067,1.734,-114.5,9.414,-0.1543,0.03373,-0.4932,4.091,0.5134,-1.782,-0.3583,0.1313,0.3409,-0.3436,-1.129,1145.0,93.9,?,?,?,40.77,?,17.63,?,?,?,?,?,295.3,'[\'Hip-Hop\']',026012.mp3
-89.91,-0.9636,-1.112,-1.117,0.09955,-1.374,-0.7334,-1.93,1.707,1.155,2.223,0.2282,-0.4497,?,-89.18,-1.561,-1.175,-1.22,0.01759,-1.939,-1.028,-2.04,1.665,1.126,2.231,0.1696,-0.5072,891.7,?,?,?,?,?,?,?,?,?,?,?,?,438.9,'[\'Hip-Hop\']',069555.mp3
-92.74,0.7681,-0.03563,-0.722,-0.9334,-1.476,-0.1546,0.8447,0.9572,1.215,0.9501,1.429,0.5647,1.059,-92.85,0.7906,0.001173,-0.6834,-0.9157,-1.37,-0.1373,0.9512,0.9528,1.124,0.9127,1.441,0.5555,928.4,?,?,?,?,?,?,?,?,?,?,?,?,308.9,'[\'Hip-Hop\']',069563.mp3
-94.65,7.493,-0.1128,-0.4489,0.4251,0.9908,0.3126,-0.9689,0.2022,-0.3123,-0.08871,-0.4321,-0.8529,1.434,-94.3,7.343,-0.04724,-0.4448,0.4141,0.9524,0.353,-0.9476,0.2037,-0.2916,-0.1242,-0.4357,-0.8575,942.9,73.33,?,?,?,?,?,?,?,?,?,?,?,221.9,'[\'Hip-Hop\']',021228.mp3
-115.2,2.852,-0.646,-0.8761,-0.09076,2.486,1.617,1.323,-0.05049,-0.3876,-1.119,0.1091,-0.0535,2.176,-114.9,2.771,-0.6278,-0.919,-0.1329,2.416,1.654,1.245,-0.02265,-0.321,-1.15,0.103,-0.04091,1149.0,?,?,?,?,23.83,?,?,?,?,?,?,?,345.5,'[\'Hip-Hop\']',022091.mp3
-93.0,6.752,-0.03925,-2.459,-1.697,0.9885,0.9343,-1.749,-1.166,0.2275,0.4199,-0.4265,-0.4794,1.054,-92.35,6.827,-0.1341,-2.391,-1.675,0.8513,0.8955,-1.705,-1.171,0.1879,0.4271,-0.3477,-0.5222,923.4,68.18,?,23.83,16.66,?,?,16.88,11.48,?,?,?,?,217.3,'[\'Hip-Hop\']',110085.mp3
-121.3,6.655,0.1935,-0.08978,-0.2837,4.04,3.073,0.2375,-0.9311,-0.1617,-0.4946,0.2252,-0.9925,?,-120.3,6.685,0.1017,-0.083,-0.2619,3.863,3.135,0.3666,-0.937,-0.07301,-0.4374,0.09398,-1.075,1202.0,66.69,?,?,?,?,31.23,?,?,?,?,?,?,223.4,'[\'Hip-Hop\']',143290.mp3
-103.6,6.469,-0.8473,-1.126,-0.5582,2.955,-0.4302,0.7609,0.2199,-0.4855,-0.1792,-1.316,-1.903,0.753,-103.4,6.304,-0.8045,-1.134,-0.5438,3.089,-0.3469,0.6773,0.2029,-0.3688,-0.1953,-1.337,-1.898,1034.0,62.82,7.817,11.15,?,?,?,?,?,?,?,13.15,18.86,133.6,'[\'Hip-Hop\']',110070.mp3
-124.0,11.21,0.2807,0.7959,-0.2594,2.034,0.2508,-0.5969,0.3776,2.235,1.132,-0.3977,-1.195,?,-123.9,11.2,0.3329,0.8301,-0.2568,2.205,0.238,-0.6374,0.3722,2.269,1.191,-0.4259,-1.244,1239.0,111.7,?,?,?,?,?,?,?,?,?,?,?,205.3,'[\'Hip-Hop\']',112488.mp3
-109.6,-0.9676,-0.4149,-0.5421,-0.6458,2.716,1.477,2.148,1.1,-0.1172,-0.3278,0.2129,-0.04136,0.4273,-109.5,-0.9632,-0.4318,-0.5531,-0.6356,2.76,1.465,2.165,1.054,-0.1626,-0.3541,0.187,-0.06777,1095.0,?,?,?,?,?,?,21.51,?,?,?,?,?,129.9,'[\'Hip-Hop\']',011920.mp3
-117.6,16.37,-0.3002,0.7161,0.5094,1.257,-9.519,-4.595,-0.4524,-0.06328,1.257,-0.9173,-2.507,1.198,-117.2,16.6,-0.3787,0.6442,0.5468,1.199,-9.676,-4.821,-0.4298,0.09661,1.365,-1.002,-2.553,1171.0,165.9,?,?,?,?,96.73,48.17,?,?,13.41,?,25.47,483.9,'[\'Hip-Hop\']',114041.mp3
-117.3,1.971,-3.549,-2.4,1.578,-1.2,-2.588,2.153,0.6076,0.284,3.265,2.88,-0.9591,2.143,-117.7,2.009,-3.633,-2.402,1.583,-1.288,-2.563,2.17,0.5989,0.2678,3.351,2.981,-0.9884,1177.0,19.87,?,23.94,?,?,25.59,21.63,?,?,33.39,?,?,618.8,'[\'Hip-Hop\']',114051.mp3
-143.4,9.76,0.1803,0.7577,-0.4254,6.439,1.858,1.886,2.438,1.446,0.2901,-0.09475,-0.3292,?,-142.0,10.39,0.2939,0.7775,-0.4827,6.381,1.959,2.02,2.49,1.33,0.1817,-0.09297,-0.1595,1420.0,103.5,?,?,?,63.69,?,?,24.73,?,?,?,?,112.5,'[\'Hip-Hop\']',022295.mp3
-105.1,4.377,-0.406,-0.4357,-1.123,5.48,1.139,-0.2865,0.3516,0.2033,0.8805,-0.07812,-0.7143,0.8498,-104.2,4.437,-0.4057,-0.4065,-1.142,5.461,1.086,-0.3417,0.3369,0.2189,0.9099,0.006368,-0.7041,1042.0,44.24,?,?,11.29,54.52,?,?,?,?,?,?,?,117.2,'[\'Hip-Hop\']',042045.mp3
-128.2,5.011,-0.7099,0.06093,-0.8149,-2.013,-1.055,-0.2669,0.09091,-0.7128,-1.349,-0.08611,-0.5944,2.235,-129.0,5.154,-0.6553,0.09798,-0.8333,-2.177,-1.113,-0.3346,-0.02774,-0.8517,-1.404,-0.06979,-0.5334,1290.0,?,?,?,?,?,?,?,?,?,?,?,?,309.4,'[\'Hip-Hop\']',011763.mp3
-135.2,17.99,2.075,-0.675,-2.352,1.434,5.113,7.58,-5.602,-7.012,-2.493,-2.89,-0.5725,?,-135.5,17.98,2.278,-0.588,-2.344,1.548,4.986,7.912,-5.365,-7.138,-2.526,-3.05,-0.6786,1354.0,179.4,?,?,23.37,?,49.69,78.94,53.53,71.27,25.12,?,?,188.1,'[\'Hip-Hop\']',036997.mp3
-101.7,-6.308,0.617,1.641,-0.5089,-0.1929,2.532,-1.608,-0.1664,0.6375,-0.3163,0.5293,0.1934,4.464,-101.4,-6.413,0.5326,1.673,-0.4721,-0.2407,2.572,-1.64,-0.1436,0.625,-0.2884,0.6285,0.2132,1014.0,64.07,?,16.64,?,?,25.59,?,?,?,?,?,?,548.7,'[\'Hip-Hop\']',011779.mp3
-115.4,4.093,-0.3166,-1.491,-2.054,1.879,-0.6408,0.1063,0.6114,0.9963,1.188,1.221,0.1763,2.723,-115.2,4.054,-0.3165,-1.53,-2.069,1.903,-0.6501,0.0395,0.6215,0.9592,1.144,1.188,0.2193,1152.0,40.31,?,?,20.62,?,?,?,?,?,11.26,?,?,479.7,'[\'Hip-Hop\']',012531.mp3
-99.23,9.463,-0.3319,-0.6735,0.1294,6.564,2.353,1.231,0.4466,-0.6288,-0.8097,-0.2415,-0.455,1.134,-99.55,9.489,-0.3325,-0.7094,0.1388,6.592,2.42,1.38,0.4075,-0.6515,-0.7766,-0.2311,-0.4115,995.3,94.6,?,6.79,?,65.61,?,?,?,?,?,?,?,250.0,'[\'Hip-Hop\']',082780.mp3
-105.1,11.3,-0.3542,-0.3612,-1.352,1.855,3.874,1.566,0.7497,-0.9926,-2.379,-1.503,-1.583,1.034,-104.6,11.33,-0.3438,-0.4526,-1.442,1.792,3.801,1.57,0.7935,-0.9721,-2.373,-1.383,-1.462,1045.0,113.2,?,?,?,17.72,37.94,15.55,?,?,23.66,?,?,213.5,'[\'Hip-Hop\']',108847.mp3
-107.9,0.7205,-0.03462,-0.4325,-0.5161,6.612,1.114,0.8764,1.059,0.3243,-0.1423,-0.2755,-0.8158,?,-107.7,0.9345,-0.09334,-0.4725,-0.5208,6.759,1.288,0.8631,1.028,0.3709,-0.1966,-0.2101,-0.8232,1077.0,?,?,?,?,67.49,?,?,?,?,?,?,?,225.6,'[\'Hip-Hop\']',091306.mp3
-98.72,1.325,-1.412,-0.9377,0.2779,1.614,1.674,-1.206,0.759,1.003,-0.5166,0.2518,-0.6871,?,-98.14,1.155,-1.437,-0.9412,0.284,1.524,1.723,-1.018,0.8949,0.9326,-0.4553,0.2088,-0.664,981.3,?,14.16,?,?,?,?,?,?,?,?,?,?,556.5,'[\'Hip-Hop\']',094426.mp3
-94.57,3.244,-0.5842,-0.8894,-0.1684,3.245,1.432,0.9159,0.8956,-0.3737,0.7565,0.4964,-0.08149,?,-94.63,3.156,-0.5655,-0.8517,-0.165,3.266,1.455,0.9998,0.9799,-0.2957,0.8245,0.4749,-0.05014,946.2,?,?,?,?,?,?,?,?,?,?,?,?,289.2,'[\'Hip-Hop\']',147024.mp3
-85.85,-0.9925,-1.529,-0.2792,-0.4087,1.339,0.7211,-0.0363,0.7891,-0.5174,0.5734,0.08716,-0.6043,3.664,-85.18,-1.028,-1.577,-0.2594,-0.4141,1.404,0.6939,-0.02448,0.8055,-0.483,0.6084,0.06448,-0.6039,851.6,?,15.63,?,?,?,?,?,?,?,?,?,?,393.6,'[\'Hip-Hop\']',095912.mp3
-101.6,2.878,-0.2218,-0.644,-0.03379,0.1918,-1.53,-1.807,0.8297,0.6443,-0.03632,0.2816,-0.9789,2.975,-101.2,2.89,-0.1926,-0.6815,-0.06951,0.4122,-1.471,-1.806,0.8293,0.6157,-0.06173,0.2703,-0.9931,1012.0,28.51,?,?,?,?,14.53,17.92,?,?,?,?,9.776,438.8,'[\'Hip-Hop\']',109681.mp3
-127.5,1.616,-1.467,-0.6242,-0.1456,4.418,0.5094,2.659,1.665,-0.6448,-0.3901,-0.3822,0.04785,2.171,-127.4,1.632,-1.535,-0.6608,-0.1577,4.533,0.5078,2.694,1.698,-0.6621,-0.3819,-0.3504,0.07169,1274.0,?,15.09,?,?,45.02,?,26.8,16.82,?,?,?,?,301.5,'[\'Hip-Hop\']',026008.mp3
-115.2,7.058,0.1131,-0.4499,-0.5949,4.749,0.468,1.544,0.1997,-0.2242,0.03436,1.005,0.1132,?,-115.0,7.158,0.06028,-0.4477,-0.6008,4.758,0.4499,1.522,0.2584,-0.1601,0.02248,0.998,0.1237,1150.0,71.31,?,?,?,47.31,?,?,?,?,?,9.802,?,191.9,'[\'Hip-Hop\']',064521.mp3
-132.3,7.504,0.1612,-1.086,-0.3462,0.07614,-0.2442,-2.28,-0.9826,-1.185,-0.7193,0.1378,-1.07,2.973,-132.4,7.555,0.1968,-1.123,-0.3178,0.1401,-0.2254,-2.281,-0.9946,-1.281,-0.7254,0.1283,-1.055,1324.0,75.07,?,?,?,?,?,22.47,?,?,?,?,?,799.0,'[\'Hip-Hop\']',131425.mp3
-100.1,2.013,-1.038,-0.8233,-0.2222,1.628,0.1197,-1.078,-0.7329,0.4087,-0.9368,-0.9298,-1.291,1.776,-99.63,2.052,-1.055,-0.836,-0.2165,1.638,0.1553,-1.106,-0.8242,0.3567,-0.9203,-0.9424,-1.319,996.3,20.17,?,?,?,16.0,?,?,?,?,9.009,?,13.07,166.5,'[\'Hip-Hop\']',109685.mp3
-117.6,12.2,-0.09615,-0.1776,-0.2662,8.244,3.398,2.166,-0.6911,-2.439,-2.867,-1.436,-1.618,0.4653,-117.7,12.17,0.03415,-0.1657,-0.3307,8.113,3.569,2.348,-0.6796,-2.504,-2.966,-1.514,-1.567,1177.0,121.5,?,?,?,81.07,35.6,23.32,?,?,?,?,15.59,168.5,'[\'Hip-Hop\']',138216.mp3
