@RELATION ./Datasets/MP3/nominalcontrol.arff

@ATTRIBUTE "Area Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Average_9" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_5" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_6" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_7" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_8" REAL
@ATTRIBUTE "Area Method of Moments Overall Standard Deviation_9" REAL
@ATTRIBUTE "Beat Sum Overall Average" REAL
@ATTRIBUTE "Beat Sum Overall Standard Deviation" REAL
@ATTRIBUTE "Compactness Overall Average" REAL
@ATTRIBUTE "Compactness Overall Standard Deviation" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average" REAL
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation" REAL
@ATTRIBUTE "LPC Overall Average_0" REAL
@ATTRIBUTE "LPC Overall Average_1" REAL
@ATTRIBUTE "LPC Overall Average_2" REAL
@ATTRIBUTE "LPC Overall Average_3" REAL
@ATTRIBUTE "LPC Overall Average_4" REAL
@ATTRIBUTE "LPC Overall Average_5" REAL
@ATTRIBUTE "LPC Overall Average_6" REAL
@ATTRIBUTE "LPC Overall Average_7" REAL
@ATTRIBUTE "LPC Overall Average_8" REAL
@ATTRIBUTE "LPC Overall Average_9" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_0" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_1" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_2" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_3" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_4" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_5" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_6" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_7" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_8" REAL
@ATTRIBUTE "LPC Overall Standard Deviation_9" REAL
@ATTRIBUTE "MFCC Overall Average_0" REAL
@ATTRIBUTE "MFCC Overall Average_1" REAL
@ATTRIBUTE "MFCC Overall Average_10" REAL
@ATTRIBUTE "MFCC Overall Average_11" REAL
@ATTRIBUTE "MFCC Overall Average_12" REAL
@ATTRIBUTE "MFCC Overall Average_2" REAL
@ATTRIBUTE "MFCC Overall Average_3" REAL
@ATTRIBUTE "MFCC Overall Average_4" REAL
@ATTRIBUTE "MFCC Overall Average_5" REAL
@ATTRIBUTE "MFCC Overall Average_6" REAL
@ATTRIBUTE "MFCC Overall Average_7" REAL
@ATTRIBUTE "MFCC Overall Average_8" REAL
@ATTRIBUTE "MFCC Overall Average_9" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_0" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_1" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_10" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_11" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_12" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_2" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_3" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_4" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_5" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_6" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_7" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_8" REAL
@ATTRIBUTE "MFCC Overall Standard Deviation_9" REAL
@ATTRIBUTE "Method of Moments Overall Average_0" REAL
@ATTRIBUTE "Method of Moments Overall Average_1" REAL
@ATTRIBUTE "Method of Moments Overall Average_2" REAL
@ATTRIBUTE "Method of Moments Overall Average_3" REAL
@ATTRIBUTE "Method of Moments Overall Average_4" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_0" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_1" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_2" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_3" REAL
@ATTRIBUTE "Method of Moments Overall Standard Deviation_4" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Average" REAL
@ATTRIBUTE "Peak Based Spectral Smoothness Overall Standard Deviation" REAL
@ATTRIBUTE "Relative Difference Function Overall Average" REAL
@ATTRIBUTE "Relative Difference Function Overall Standard Deviation" REAL
@ATTRIBUTE "Root Mean Square Overall Average" REAL
@ATTRIBUTE "Root Mean Square Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Flux Overall Average" REAL
@ATTRIBUTE "Spectral Flux Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Average" REAL
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation" REAL
@ATTRIBUTE "Spectral Variability Overall Average" REAL
@ATTRIBUTE "Spectral Variability Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Beat Overall Average" REAL
@ATTRIBUTE "Strongest Beat Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via FFT Maximum Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Spectral Centroid Overall Standard Deviation" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Average" REAL
@ATTRIBUTE "Strongest Frequency Via Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE "Zero Crossings Overall Average" REAL
@ATTRIBUTE "Zero Crossings Overall Standard Deviation" REAL
@ATTRIBUTE genre {Hip-Hop, Pop, Soundtrack, Instrumental, Folk}
@ATTRIBUTE title STRING

@DATA
2.607,2222000.0,24920000.0,-4937000000000.0,-55370000000000.0,-621100000000000.0,2.194e+19,498500000000000.0,5592000000000000.0,3.096e+22,1.055,1215.0,11540.0,5399000000.0,55770000000.0,575000000000.0,3.599e+16,508200000000.0,5245000000000.0,4.299e+19,1033.0,259.4,1559.0,216.1,0.389,0.1105,-0.9032,0.1423,-0.2016,0.07001,-0.1328,0.01524,-0.04278,0.0472,0.07456,0.0,0.2557,0.4507,0.3071,0.2809,0.2463,0.1938,0.1831,0.1205,0.1261,0.0,-145.8,-1.088,-1.101,0.09235,-0.1119,5.75,4.443,-0.1586,2.483,2.853,-1.682,0.251,1.559,18.98,10.99,1.615,1.502,1.23,4.4,4.514,3.553,2.293,2.163,2.121,1.388,1.824,0.2602,38.98,2796.0,245600.0,48760000.0,0.1548,30.32,1879.0,189300.0,32980000.0,20.27,66.01,-4.861,1.447,0.2059,0.09957,15.68,32.35,0.002063,0.004536,0.08521,0.1848,0.005477,0.002723,219.7,5.304,383.8,1009.0,490.0,1011.0,567.5,1021.0,36.32,65.34,Hip-Hop,011790.mp3
7.511,32470000.0,364300000.0,-1054000000000000.0,-1.183e+16,-1.327e+17,6.848e+22,1.065e+17,1.195e+18,9.67e+25,1.243,1208.0,12990.0,78440000000.0,861700000000.0,9463000000000.0,7.641e+18,7776000000000.0,85400000000000.0,1.034e+22,3097.0,192.2,1541.0,188.6,0.4978,0.03795,-0.9345,0.2413,-0.05022,0.01423,0.01085,0.06995,-0.01661,0.03631,0.01526,0.0,0.1083,0.3375,0.229,0.1696,0.1427,0.1198,0.1206,0.1209,0.1331,0.0,-95.34,4.853,-0.7385,-1.144,-1.01,2.757,0.2615,-0.7401,0.2896,0.7147,0.4758,0.722,-0.09264,17.23,5.824,1.861,1.801,1.876,4.55,3.399,3.237,2.484,2.229,2.048,1.869,1.872,0.749,48.65,3663.0,327200.0,64050000.0,0.3147,22.05,1468.0,124000.0,20720000.0,42.95,49.26,-2.883,1.193,0.3426,0.1476,15.14,16.75,0.01355,0.01428,0.1002,0.1418,0.008716,0.004246,220.4,1.544,231.6,387.1,473.2,523.5,645.8,588.5,41.33,37.66,Hip-Hop,150288.mp3
4.609,19890000.0,229200000.0,-395700000000000.0,-4560000000000000.0,-5.254e+16,1.575e+22,4.106e+16,4.73e+17,2.408e+25,1.178,1210.0,14580.0,48140000000.0,567400000000.0,6685000000000.0,2.873e+18,5111000000000.0,60220000000000.0,4.597e+21,1135.0,106.7,1601.0,221.7,0.5183,0.0795,-0.9167,0.214,-0.04785,-0.008931,0.03561,0.07029,0.02834,0.0327,0.04215,0.0,0.1496,0.3733,0.2172,0.1616,0.1456,0.1386,0.145,0.1299,0.1376,0.0,-107.5,5.439,0.2059,-0.6082,0.06913,3.117,1.069,-0.08371,0.2815,-0.7632,0.6572,-0.06885,-1.208,19.54,4.809,1.619,1.611,1.492,5.38,3.286,3.47,2.194,2.313,1.805,1.955,1.713,0.4604,50.73,3760.0,317300.0,65420000.0,0.2578,25.1,1762.0,140200.0,24130000.0,47.27,53.43,-3.48,1.262,0.2098,0.1212,17.44,20.26,0.004581,0.00603,0.1147,0.1698,0.005277,0.003366,133.4,38.31,264.7,392.0,544.9,633.1,713.6,665.8,45.67,42.61,Hip-Hop,108845.mp3
1.162,17950000.0,205900000.0,-322100000000000.0,-3695000000000000.0,-4.238e+16,1.156e+22,3.327e+16,3.816e+17,1.745e+25,0.472,1207.0,16980.0,43330000000.0,552800000000.0,6989000000000.0,2.333e+18,4964000000000.0,62770000000000.0,4.317e+21,87.97,59.08,1554.0,182.3,0.6082,0.03818,-0.7877,0.3358,-0.1028,0.08152,0.1418,0.05497,-0.02294,0.131,0.0739,0.0,0.3461,0.3951,0.3448,0.2278,0.1843,0.1938,0.1626,0.1806,0.1476,0.0,-142.4,3.209,-1.607,-2.788,-2.788,3.083,-2.372,-2.061,-2.603,-0.6613,0.2237,-0.6516,-1.437,22.1,7.512,2.413,3.014,2.647,6.036,4.076,3.355,2.604,2.693,2.095,2.374,2.666,0.1161,67.06,3837.0,240000.0,58820000.0,0.09366,33.08,1667.0,190200.0,22450000.0,69.31,74.98,-4.569,1.675,0.05416,0.05487,37.08,40.3,0.0008325,0.001764,0.2277,0.2518,0.001332,0.001466,159.7,39.03,705.0,1221.0,1159.0,1259.0,1242.0,1170.0,79.5,74.88,Hip-Hop,097987.mp3
3.082,21060000.0,242000000.0,-443300000000000.0,-5095000000000000.0,-5.855e+16,1.867e+22,4.587e+16,5.272e+17,2.834e+25,1.258,1204.0,15170.0,50690000000.0,610700000000.0,7343000000000.0,3.202e+18,5513000000000.0,66280000000000.0,5.33e+21,699.5,209.7,1557.0,237.7,0.5806,0.06588,-0.9143,-0.04486,0.01813,0.02074,-0.05518,0.08472,-0.003239,0.1254,0.01143,0.0,0.1768,0.3304,0.2187,0.1535,0.1159,0.1037,0.1078,0.1201,0.09435,0.0,-124.9,6.579,-0.3747,-0.3385,-0.5418,4.251,3.731,-0.6068,-1.026,-0.3567,-0.9651,-0.3917,-0.7813,24.43,5.217,1.318,1.489,1.273,3.089,2.385,2.23,2.018,1.769,1.745,1.779,1.336,0.3077,50.67,4285.0,387100.0,79440000.0,0.2766,27.22,1748.0,165300.0,25610000.0,36.08,58.22,-3.952,1.737,0.1605,0.1323,15.34,23.15,0.003828,0.007738,0.09696,0.1792,0.004091,0.003671,79.8,50.48,207.7,625.2,479.3,723.5,661.7,743.9,42.35,47.61,Hip-Hop,112484.mp3
3.762,31730000.0,356100000.0,-1007000000000000.0,-1.13e+16,-1.268e+17,6.389e+22,1.017e+17,1.141e+18,9.028e+25,1.113,1203.0,11690.0,76360000000.0,799300000000.0,8326000000000.0,7.269e+18,7199000000000.0,74990000000000.0,8.893e+21,704.5,95.3,1555.0,197.9,0.5742,0.05254,-0.9264,0.6219,-0.3141,-0.04479,-0.0214,-0.02173,-0.002894,0.02477,0.04507,0.0,0.06322,0.2675,0.2975,0.246,0.1672,0.1478,0.1349,0.1092,0.1023,0.0,-108.2,2.822,0.2055,-0.4321,-0.3884,-0.6725,4.917,-0.7269,1.836,1.182,0.3646,-0.8448,-0.01009,18.3,5.178,2.145,2.117,2.126,4.564,3.202,3.322,2.337,2.723,2.172,2.153,2.161,0.3749,43.44,2253.0,209000.0,38190000.0,0.2389,10.81,1067.0,122500.0,23720000.0,54.2,38.55,-3.56,1.356,0.1594,0.1008,21.03,14.19,0.005082,0.006137,0.1273,0.09079,0.003965,0.002706,188.9,3.754,489.2,565.8,657.3,443.4,806.3,401.4,51.61,25.69,Hip-Hop,146727.mp3
7.516,1913000.0,20960000.0,-3660000000000.0,-40090000000000.0,-439200000000000.0,1.4e+19,360800000000000.0,3952000000000000.0,1.841e+22,1.054,1207.0,17010.0,4620000000.0,57850000000.0,713000000000.0,2.651e+16,520500000000.0,6416000000000.0,4.483e+19,1304.0,228.9,1578.0,165.7,0.6419,0.04014,-0.8918,0.2201,-0.33,-0.1066,-0.06482,0.08521,0.03757,0.02369,0.006006,0.0,0.07156,0.1972,0.1403,0.09064,0.08593,0.07811,0.08755,0.07923,0.07287,0.0,-84.39,1.408,-0.4125,-0.4541,-1.546,4.019,1.036,-1.344,0.5264,-0.995,1.005,-0.3159,0.5073,9.117,1.981,1.16,1.176,1.147,1.674,1.457,1.401,1.391,1.445,1.327,1.341,1.437,0.7499,62.45,3968.0,266600.0,53510000.0,0.1791,12.51,933.7,61500.0,13190000.0,78.42,48.77,-4.013,1.375,0.2248,0.06611,21.99,10.87,0.004018,0.005599,0.1762,0.129,0.005251,0.001968,212.9,18.77,168.3,112.8,687.2,339.6,1071.0,400.8,68.55,25.65,Hip-Hop,010696.mp3
7.162,2836000.0,32380000.0,-8046000000000.0,-91850000000000.0,-1048000000000000.0,4.564e+19,827000000000000.0,9441000000000000.0,6.79e+22,1.909,1198.0,17920.0,6795000000.0,89600000000.0,1160000000000.0,5.782e+16,809300000000.0,10480000000000.0,1.127e+20,2566.0,263.4,1588.0,163.4,0.5015,0.04235,-0.8561,-0.006412,-0.04405,-0.04255,-0.01853,-0.002619,-0.01791,-0.01832,0.02077,0.0,0.2268,0.3348,0.2222,0.1777,0.1642,0.1317,0.1392,0.1334,0.1129,0.0,-99.12,2.808,0.06286,-1.966,-1.117,2.07,0.1797,0.9759,-0.155,-1.117,-0.6472,-1.387,-1.314,12.78,5.089,1.907,2.059,1.639,4.142,3.058,2.851,2.491,2.232,2.014,2.062,1.971,0.7149,63.41,4860.0,345700.0,79920000.0,0.3565,29.73,1668.0,182300.0,20930000.0,54.73,73.4,-3.183,1.443,0.3165,0.1646,23.15,28.67,0.01072,0.01639,0.1727,0.2433,0.007927,0.00473,175.4,31.45,247.8,667.0,723.3,896.0,965.6,944.2,61.8,60.43,Hip-Hop,014391.mp3
4.245,12220000.0,141200000.0,-149400000000000.0,-1726000000000000.0,-1.995e+16,3.651e+21,1.554e+16,1.796e+17,5.636e+24,0.9319,1208.0,14220.0,29530000000.0,344300000000.0,4016000000000.0,1.083e+18,3104000000000.0,36200000000000.0,1.702e+21,746.5,66.56,1553.0,185.6,0.5806,0.06411,-0.8894,0.3188,-0.1563,-0.05003,0.002245,0.03,0.008714,0.02355,0.03997,0.0,0.1821,0.3675,0.2547,0.2035,0.1754,0.1266,0.1272,0.1236,0.1176,0.0,-105.2,4.017,-0.11,-0.6352,-0.2343,3.232,1.582,0.1118,1.167,0.02298,0.0609,0.2107,-1.032,16.49,5.555,1.773,1.623,1.395,4.936,3.21,3.373,2.912,2.46,2.13,2.004,2.002,0.4245,53.5,3505.0,278000.0,56780000.0,0.2181,24.14,1625.0,138700.0,25610000.0,62.37,62.3,-3.706,1.341,0.166,0.08801,22.51,23.59,0.003874,0.004944,0.1562,0.1838,0.004114,0.002512,193.7,31.08,338.4,580.1,703.4,737.2,887.1,742.1,56.78,47.49,Hip-Hop,067793.mp3
1.812,1905000.0,20850000.0,-3628000000000.0,-39720000000000.0,-434800000000000.0,1.382e+19,357400000000000.0,3913000000000000.0,1.813e+22,0.7842,1215.0,7279.0,4627000000.0,39180000000.0,303600000000.0,2.644e+16,359700000000.0,2810000000000.0,1.899e+19,552.4,32.96,1496.0,344.0,0.5834,0.01879,-0.956,0.2536,0.0892,0.1165,0.06866,0.06628,0.05012,0.03139,0.03028,0.0,0.1654,0.2801,0.1958,0.142,0.1317,0.1056,0.08736,0.09224,0.07261,0.0,-177.8,15.79,0.3385,-0.3192,-0.2425,5.101,2.538,3.172,1.454,0.2166,0.09472,0.3904,0.5861,98.04,14.08,1.569,1.582,1.735,8.1,2.993,2.388,2.056,1.852,1.636,1.716,1.494,0.1807,21.8,1498.0,145300.0,28370000.0,0.1608,26.15,1781.0,152200.0,29230000.0,11.63,30.74,-4.31,7.422,0.145,0.1089,7.718,17.34,0.002561,0.004621,0.04648,0.1134,0.003788,0.003021,126.6,31.95,174.9,572.4,241.2,542.0,283.8,513.0,18.16,32.83,Hip-Hop,010694.mp3
9.72,11340000.0,131200000.0,-128600000000000.0,-1488000000000000.0,-1.721e+16,2.916e+21,1.339e+16,1.55e+17,4.516e+24,1.858,1208.0,13810.0,27390000000.0,315000000000.0,3624000000000.0,9.318e+17,2839000000000.0,32660000000000.0,1.426e+21,5429.0,509.2,1658.0,257.5,0.5324,0.06002,-0.9215,0.29,-0.2777,0.0092,-0.02154,-0.05489,0.0331,0.07127,0.1008,0.0,0.09564,0.3533,0.3018,0.1932,0.1868,0.1565,0.1483,0.1214,0.1359,0.0,-87.59,5.014,-1.606,0.2007,1.428,7.052,2.022,-1.13,1.664,1.257,-1.47,-0.5811,-0.4861,18.42,4.99,1.788,1.58,1.772,3.22,2.576,2.8,2.115,2.388,2.213,2.111,2.012,0.971,47.02,3123.0,244600.0,48490000.0,0.3148,22.97,1721.0,154800.0,32930000.0,45.29,47.66,-3.725,1.231,0.4493,0.09952,17.32,16.69,0.008274,0.011,0.1287,0.1452,0.01149,0.003131,220.6,1.081e-12,251.8,507.4,541.2,521.6,768.7,579.4,49.2,37.08,Hip-Hop,063770.mp3
5.106,31010000.0,347600000.0,-961900000000000.0,-1.078e+16,-1.208e+17,5.966e+22,9.705e+16,1.088e+18,8.397e+25,1.388,1209.0,11130.0,74960000000.0,765100000000.0,7736000000000.0,6.975e+18,6901000000000.0,69800000000000.0,8.067e+21,1870.0,110.2,1564.0,215.7,0.5744,0.02487,-0.9679,0.268,-0.02458,0.08903,0.06126,0.08644,0.03374,0.03112,0.004122,0.0,0.06541,0.3431,0.2804,0.1534,0.1332,0.1282,0.1137,0.1289,0.1181,0.0,-109.6,9.24,1.108,-0.607,-0.2922,3.843,-0.7364,0.2987,1.47,-1.093,-0.3857,0.5619,0.592,37.79,5.766,1.643,1.818,1.853,4.817,2.831,3.593,2.64,2.351,2.365,1.949,1.652,0.5117,37.97,3085.0,303100.0,58020000.0,0.3111,20.43,1657.0,114400.0,22500000.0,23.88,25.45,-3.215,1.314,0.2623,0.1335,8.896,8.692,0.008144,0.01273,0.05014,0.07513,0.006729,0.003682,185.2,14.62,147.9,148.3,278.0,271.6,422.7,358.0,27.06,22.91,Hip-Hop,144213.mp3
2.683,21630000.0,248700000.0,-467900000000000.0,-5380000000000000.0,-6.187e+16,2.024e+22,4.844e+16,5.57e+17,3.078e+25,0.518,1208.0,10580.0,52270000000.0,529400000000.0,5264000000000.0,3.392e+18,4772000000000.0,47470000000000.0,3.928e+21,626.8,31.64,1584.0,214.3,0.5658,0.02023,-0.9523,0.4383,0.1561,0.1053,-0.002555,-0.01533,-0.04876,-0.03872,-0.06269,0.0,0.1222,0.4329,0.2318,0.1533,0.1572,0.1593,0.1056,0.09646,0.07705,0.0,-134.2,16.72,1.502,0.4541,0.08716,0.5775,-4.294,-0.6821,0.8607,2.191,0.7197,-0.3417,-0.3312,36.5,7.041,2.89,2.021,2.275,4.42,2.757,2.544,2.395,2.617,2.319,2.469,2.209,0.2686,28.4,2072.0,201700.0,41560000.0,0.1948,25.68,1988.0,143300.0,27500000.0,32.42,44.12,-3.728,1.461,0.156,0.09213,10.43,14.34,0.003104,0.005771,0.07718,0.1265,0.004026,0.002538,85.23,5.546e-13,178.5,378.4,325.8,448.1,440.2,501.7,28.17,32.11,Hip-Hop,114040.mp3
5.458,13620000.0,157600000.0,-185600000000000.0,-2147000000000000.0,-2.484e+16,5.056e+21,1.933e+16,2.237e+17,7.829e+24,1.161,1206.0,12620.0,32860000000.0,362000000000.0,3979000000000.0,1.343e+18,3262000000000.0,35850000000000.0,1.881e+21,1556.0,56.74,1541.0,193.8,0.5907,0.03144,-0.9578,0.2134,0.09491,0.04842,0.07309,0.1627,-0.06099,0.0461,-0.03037,0.0,0.08129,0.3767,0.3127,0.2033,0.1664,0.1479,0.1483,0.1435,0.1229,0.0,-104.1,10.61,-1.087,-1.619,-1.776,4.889,0.3725,0.6292,1.684,-0.6844,1.614,-0.1715,-0.4377,18.25,5.613,1.801,2.072,1.9,5.003,3.766,2.927,2.454,2.44,2.27,2.35,1.927,0.5443,42.32,3530.0,367600.0,70620000.0,0.2975,19.51,1677.0,133500.0,25330000.0,32.8,31.77,-3.349,1.205,0.2443,0.0984,11.88,11.44,0.006295,0.007961,0.06674,0.08373,0.006155,0.002695,197.4,2.105e-12,213.0,258.3,371.3,357.4,533.4,426.5,34.14,27.29,Hip-Hop,073550.mp3
3.948,27430000.0,308100000.0,-752300000000000.0,-8452000000000000.0,-9.494e+16,4.127e+22,7.61e+16,8.549e+17,5.851e+25,0.6743,1207.0,13780.0,66200000000.0,749800000000.0,8492000000000.0,5.447e+18,6753000000000.0,76480000000000.0,7.85e+21,724.4,26.37,1564.0,191.6,0.6188,0.02921,-0.9251,0.1561,0.04561,0.01365,0.03501,0.0485,0.01271,0.05048,0.0087,0.0,0.1358,0.3388,0.2363,0.1564,0.133,0.1227,0.1074,0.1202,0.09719,0.0,-107.9,6.796,0.007024,-0.8141,0.1323,2.973,0.5219,0.4141,0.3113,-0.304,0.06574,0.3893,-0.2023,16.64,5.119,1.624,1.419,1.502,3.966,3.019,2.758,2.542,2.357,1.895,1.792,1.716,0.394,52.58,4096.0,363500.0,72690000.0,0.201,22.0,1462.0,123100.0,18160000.0,47.24,49.63,-3.489,1.274,0.1642,0.09751,16.83,17.93,0.003955,0.005446,0.1087,0.1582,0.004074,0.002743,176.6,23.49,232.5,311.8,526.0,560.5,747.7,619.4,47.85,39.64,Hip-Hop,130650.mp3
8.636,5811000.0,66560000.0,-33770000000000.0,-386800000000000.0,-4430000000000000.0,3.924e+20,3482000000000000.0,3.989e+16,5.897e+23,1.209,1202.0,9086.0,13970000000.0,132800000000.0,1209000000000.0,2.436e+17,1195000000000.0,10880000000000.0,2.415e+20,5007.0,118.9,1569.0,166.2,0.7067,0.03205,-0.9682,0.6181,-0.3196,-0.1938,-0.2011,-0.1511,-0.1254,-0.06132,-0.01461,0.0,0.0415,0.2283,0.2303,0.1616,0.08916,0.0781,0.0695,0.06925,0.06929,0.0,-95.57,0.3549,1.155,1.959,2.011,-1.804,8.606,2.255,-5.171,-4.346,-0.8064,-1.648,-1.139,9.929,3.48,1.371,1.818,1.157,2.938,2.619,2.146,1.95,1.971,1.819,1.406,1.644,0.8628,31.11,1729.0,135000.0,23490000.0,0.2871,15.07,1171.0,90340.0,18480000.0,18.62,26.86,-3.558,1.164,0.4343,0.08916,7.727,7.352,0.00673,0.009808,0.05908,0.075,0.01217,0.002633,220.6,1.138e-12,38.31,72.53,241.5,229.8,516.4,319.9,33.05,20.48,Hip-Hop,036986.mp3
4.83,13270000.0,153700000.0,-176200000000000.0,-2039000000000000.0,-2.361e+16,4.676e+21,1.836e+16,2.126e+17,7.256e+24,1.394,1207.0,14410.0,32050000000.0,376700000000.0,4427000000000.0,1.276e+18,3386000000000.0,39800000000000.0,2.041e+21,1162.0,170.8,1541.0,230.0,0.6821,0.03213,-0.9092,0.3002,-0.2026,0.05976,0.02869,0.09117,0.04961,0.07621,0.0578,0.0,0.1472,0.3521,0.2443,0.1735,0.1882,0.1291,0.1219,0.1291,0.119,0.0,-107.3,4.867,0.3597,-0.1027,-0.2112,5.531,1.068,-1.216,0.3887,-0.4962,0.8807,-0.1897,0.1606,19.32,6.618,1.606,1.56,1.583,4.986,3.077,3.028,2.522,2.553,1.995,2.1,1.734,0.4818,50.24,3296.0,242600.0,49860000.0,0.312,26.03,1595.0,127400.0,22060000.0,46.42,60.47,-3.277,1.376,0.2104,0.1424,18.87,21.52,0.008497,0.01294,0.129,0.1786,0.005268,0.003952,151.9,20.32,269.8,435.1,589.6,672.4,732.1,706.4,46.85,45.21,Hip-Hop,072136.mp3
5.727,31700000.0,355600000.0,-1005000000000000.0,-1.127e+16,-1.265e+17,6.369e+22,1.015e+17,1.139e+18,8.996e+25,1.012,1207.0,11970.0,76530000000.0,808700000000.0,8515000000000.0,7.277e+18,7283000000000.0,76680000000000.0,9.084e+21,2189.0,64.21,1545.0,176.5,0.4937,0.0342,-0.9679,0.0951,-0.09028,0.08735,0.1506,0.08108,0.0211,0.08259,-0.009789,0.0,0.04007,0.3512,0.2873,0.1758,0.153,0.1346,0.1197,0.1062,0.1066,0.0,-102.6,9.605,1.113,0.637,0.2215,4.832,-0.1799,0.1966,1.563,2.861,1.911,1.507,0.6123,13.67,5.128,1.599,1.492,1.371,3.384,3.049,2.291,2.365,2.511,1.956,1.871,1.746,0.5712,42.86,3719.0,354800.0,66590000.0,0.21,18.66,1768.0,140600.0,28030000.0,23.28,24.77,-3.735,1.286,0.2852,0.0652,8.589,6.628,0.005086,0.005356,0.04161,0.05842,0.007371,0.001943,202.1,20.72,128.5,123.2,268.4,207.1,424.3,325.3,27.15,20.82,Hip-Hop,146685.mp3
8.164,31770000.0,356500000.0,-1009000000000000.0,-1.133e+16,-1.271e+17,6.415e+22,1.02e+17,1.144e+18,9.06e+25,1.391,1207.0,16530.0,76710000000.0,955400000000.0,11790000000000.0,7.311e+18,8608000000000.0,106200000000000.0,1.26e+22,3275.0,158.0,1551.0,213.7,0.533,0.03349,-0.8961,0.05567,-0.1122,-0.0312,0.06447,0.06001,0.01534,0.02609,0.02721,0.0,0.1846,0.3677,0.2573,0.2033,0.1625,0.1464,0.1558,0.1284,0.1234,0.0,-95.84,6.047,-1.173,0.308,-0.5631,5.504,-0.1534,0.01215,-0.344,-0.6394,0.4401,-0.2261,0.3018,15.86,5.431,1.667,1.721,1.511,5.32,3.076,3.384,2.562,2.365,2.063,1.888,1.744,0.8157,57.7,4495.0,330600.0,74710000.0,0.3539,28.64,1764.0,173000.0,19970000.0,39.79,47.7,-3.156,1.221,0.3462,0.1396,18.48,23.7,0.01142,0.01202,0.1307,0.2062,0.00873,0.004117,195.8,41.7,198.0,334.6,577.5,740.6,770.6,757.9,49.32,48.51,Hip-Hop,147022.mp3
